evaluation_scope,feature_set,model,weighting,top_k,n_rows,mean_y_true,min_y_true,mean_predicted_dependency_score
internal_cv_all,delta_all,pca100_random_forest,unweighted,20,100,-1.7700312397629023,-4.015231132507324,1.8668589737107582
internal_cv_all,delta_all,pca100_random_forest,unweighted,50,250,-1.6135101933032274,-4.015231132507324,1.618997794114761
internal_cv_all,delta_all,pca100_random_forest,unweighted,100,500,-1.4665296906754375,-4.015231132507324,1.446006220715361
internal_cv_all,delta_all,pca20_random_forest,unweighted,20,100,-1.8385448145866394,-4.015231132507324,1.92628837835853
internal_cv_all,delta_all,pca20_random_forest,unweighted,50,250,-1.6251437382400036,-4.015231132507324,1.6676621771726292
internal_cv_all,delta_all,pca20_random_forest,unweighted,100,500,-1.4275410903021692,-4.015231132507324,1.4863447694088279
internal_cv_all,delta_all,pca50_random_forest,unweighted,20,100,-1.9269937348365784,-4.015231132507324,1.8916427369845172
internal_cv_all,delta_all,pca50_random_forest,unweighted,50,250,-1.588628661930561,-4.015231132507324,1.6384455210574342
internal_cv_all,delta_all,pca50_random_forest,unweighted,100,500,-1.4413731484487653,-4.015231132507324,1.4594264615340211
internal_cv_all,delta_all,pca50_ridge,unweighted,20,100,-1.8201206696033478,-4.015231132507324,1.9470580565929412
internal_cv_all,delta_all,pca50_ridge,unweighted,50,250,-1.6398951677381992,-4.015231132507324,1.6987040920257568
internal_cv_all,delta_all,pca50_ridge,unweighted,100,500,-1.455861973449588,-4.015231132507324,1.4895089807510375
internal_cv_all,delta_all,random_forest,unweighted,20,100,-1.8468596383929252,-4.015231132507324,1.8563418714009228
internal_cv_all,delta_all,random_forest,unweighted,50,250,-1.6435215192139148,-4.015231132507324,1.6354149048788462
internal_cv_all,delta_all,random_forest,unweighted,100,500,-1.4375465810978785,-4.015231132507324,1.4706710631415199
internal_cv_all,delta_mask_target,pca100_random_forest,unweighted,20,100,-1.815808997452259,-4.015231132507324,1.8610682683113025
internal_cv_all,delta_mask_target,pca100_random_forest,unweighted,50,250,-1.6178896301686765,-4.015231132507324,1.617318472316903
internal_cv_all,delta_mask_target,pca100_random_forest,unweighted,100,500,-1.4408121439218522,-4.015231132507324,1.4450597685049198
internal_cv_all,delta_mask_target,pca20_random_forest,unweighted,20,100,-1.8237633691728115,-4.015231132507324,1.9197049276618046
