job_key,evaluation_scope,fold,feature_set,model,weighting,rank,perturbation_gene,y_true,y_pred,predicted_dependency_score,observed_n_cells,target_gene_index,top_k
internal_cv_all|0|delta_all|pca100_random_forest|unweighted,internal_cv_all,0,delta_all,pca100_random_forest,unweighted,1,SNRPD2,-2.6352133750915527,-2.1945169643956697,2.1945169643956697,19,7597,20
internal_cv_all|0|delta_all|pca100_random_forest|unweighted,internal_cv_all,0,delta_all,pca100_random_forest,unweighted,2,RPL8,-2.779572010040283,-2.1638668214296923,2.1638668214296923,384,3811,20
internal_cv_all|0|delta_all|pca100_random_forest|unweighted,internal_cv_all,0,delta_all,pca100_random_forest,unweighted,3,RPL35,-1.01491379737854,-2.0582470092065988,2.0582470092065988,46,4008,20
internal_cv_all|0|delta_all|pca100_random_forest|unweighted,internal_cv_all,0,delta_all,pca100_random_forest,unweighted,4,RPS7,-2.0644373893737793,-2.0517230729400464,2.0517230729400464,265,899,20
internal_cv_all|0|delta_all|pca100_random_forest|unweighted,internal_cv_all,0,delta_all,pca100_random_forest,unweighted,5,RPL23,-2.5948612689971924,-1.9661948030831438,1.9661948030831438,398,6729,20
internal_cv_all|0|delta_all|pca100_random_forest|unweighted,internal_cv_all,0,delta_all,pca100_random_forest,unweighted,6,RPS19,-2.861461877822876,-1.9322472444845433,1.9322472444845433,422,7556,20
internal_cv_all|0|delta_all|pca100_random_forest|unweighted,internal_cv_all,0,delta_all,pca100_random_forest,unweighted,7,RPS3,-2.1233606338500977,-1.905933763603229,1.905933763603229,276,4793,20
internal_cv_all|0|delta_all|pca100_random_forest|unweighted,internal_cv_all,0,delta_all,pca100_random_forest,unweighted,8,POT1,-0.4019472897052765,-1.7864007781436153,1.7864007781436153,5,3418,20
internal_cv_all|0|delta_all|pca100_random_forest|unweighted,internal_cv_all,0,delta_all,pca100_random_forest,unweighted,9,NOP2,-1.3347033262252808,-1.7618528468800172,1.7618528468800172,58,4951,20
internal_cv_all|0|delta_all|pca100_random_forest|unweighted,internal_cv_all,0,delta_all,pca100_random_forest,unweighted,10,DDX24,-0.6965067982673645,-1.7421926730192707,1.7421926730192707,286,5799,20
internal_cv_all|0|delta_all|pca100_random_forest|unweighted,internal_cv_all,0,delta_all,pca100_random_forest,unweighted,11,RPS20,-2.89754056930542,-1.706391732138583,1.706391732138583,273,3636,20
internal_cv_all|0|delta_all|pca100_random_forest|unweighted,internal_cv_all,0,delta_all,pca100_random_forest,unweighted,12,SNRNP70,-0.66417396068573,-1.6807216687743864,1.6807216687743864,129,7639,20
internal_cv_all|0|delta_all|pca100_random_forest|unweighted,internal_cv_all,0,delta_all,pca100_random_forest,unweighted,13,NDUFA2,-1.03433096408844,-1.6779754975768857,1.6779754975768857,187,2524,20
internal_cv_all|0|delta_all|pca100_random_forest|unweighted,internal_cv_all,0,delta_all,pca100_random_forest,unweighted,14,DNTTIP2,-0.5360137820243835,-1.6694644229882383,1.6694644229882383,264,429,20
