,,,,,effect_difference_mse,effect_difference_mse,effect_difference_mse,effect_difference_pearson,effect_difference_pearson,effect_difference_pearson
,,,,,mean,count,<lambda_0>,mean,count,<lambda_0>
state,export,method,anchor_a,anchor_b,,,,,,
B-continue,external,global_mean,ACH-000551,ACH-000739,9.50925782748631,28,0,0.04690883558329134,28,0
B-continue,external,global_mean,ACH-000551,ACH-000971,3.3729578410044754,101,0,-0.06913237565014796,101,0
B-continue,external,global_mean,ACH-000551,ACH-000995,3.4507336964209876,228,0,0.029472701675743732,228,0
B-continue,external,global_mean,ACH-000739,ACH-000971,14.518839925527573,24,0,-0.04633217119222649,24,0
B-continue,external,global_mean,ACH-000739,ACH-000995,12.903200767233841,234,0,0.011558825657988837,234,0
B-continue,external,global_mean,ACH-000971,ACH-000995,4.607950069250599,217,0,-0.1453175593028693,217,0
B-continue,external,model,ACH-000551,ACH-000739,10.07652132851737,28,0,0.15630509844876053,28,0
B-continue,external,model,ACH-000551,ACH-000971,4.2704052299556166,101,0,0.30312872895851656,101,0
B-continue,external,model,ACH-000551,ACH-000995,26.889419400901126,228,0,0.18782106243938868,228,0
B-continue,external,model,ACH-000739,ACH-000971,15.414720326662064,24,0,0.17590110591400873,24,0
B-continue,external,model,ACH-000739,ACH-000995,31.108946523095806,234,0,0.26893336602087686,234,0
B-continue,external,model,ACH-000971,ACH-000995,23.335657062618413,217,0,0.25553316325135245,217,0
B-continue,external,no_change,ACH-000551,ACH-000739,9.509257876447268,28,0,,0,28
B-continue,external,no_change,ACH-000551,ACH-000971,3.372957817103603,101,0,,0,101
B-continue,external,no_change,ACH-000551,ACH-000995,3.450733853471384,228,0,,0,228
B-continue,external,no_change,ACH-000739,ACH-000971,14.51883984108766,24,0,,0,24
B-continue,external,no_change,ACH-000739,ACH-000995,12.90320058994823,234,0,,0,234
B-continue,external,no_change,ACH-000971,ACH-000995,4.607949663691806,217,0,,0,217
B-continue,external,perturbation_mean,ACH-000551,ACH-000739,7.596077484389146,24,0,0.026869595303300367,13,11
B-continue,external,perturbation_mean,ACH-000551,ACH-000971,7.653782518373595,18,0,-0.02606858920752059,16,2
B-continue,external,perturbation_mean,ACH-000551,ACH-000995,3.4507338167413284,228,0,0.011750555406475734,208,20
B-continue,external,perturbation_mean,ACH-000739,ACH-000971,13.007960847445897,21,0,0.02881745241112723,8,13
B-continue,external,perturbation_mean,ACH-000739,ACH-000995,12.903200630194101,234,0,0.043234673258561014,132,102
B-continue,external,perturbation_mean,ACH-000971,ACH-000995,4.607949641580406,217,0,0.003048345780933493,189,28
B-continue,internal,global_mean,ACH-000551,ACH-000739,9.50925782748631,28,0,0.04690883558329134,28,0
