arm,step,epoch,mean_delta_mse,energy_distance,response_loss
B-interface,0,0,162.27949724494854,738.3330846724615,900.6125823153849
B-interface,257,1,62.07002866037265,303.0135473105385,365.08357596381694
B-interface,514,2,28.081927638017266,176.01095544472105,204.0928830931306
B-interface,771,3,19.832241301684487,133.21990810560746,153.05214925268456
B-interface,1028,4,15.946728887918772,106.85540208441978,122.8021307870414
B-interface,1285,5,13.399377416356037,87.01464183264535,100.41401922663208
B-interface,1542,6,11.639515332144923,73.01045838520992,84.64997370894405
B-interface,1799,7,10.38846474766794,62.014094794066445,72.40255953594423
B-interface,2056,8,9.435430362239893,54.487499306907836,63.92292964630576
B-interface,2313,9,8.695471379600297,48.53367280519053,57.22914403136338
B-interface,2570,10,8.144122006638565,44.02651466360271,52.1706366362121
B-interface,2827,11,7.686446064308105,40.63556573675923,48.32201185615502
B-interface,3084,12,7.36867684844968,38.162243802429444,45.530920563060874
B-interface,3341,13,7.130147576822711,36.28759230988535,43.41773989471867
B-interface,3598,14,6.972063442150975,34.93662542871782,41.90868891999231
B-interface,3855,15,6.802201680636188,33.953488180121305,40.75568993505743
B-interface,4112,16,6.720343843816312,33.15532217676924,39.875666084484315
B-interface,4369,17,6.6321641260738025,32.58089152849748,39.21305575760856
B-interface,4626,18,6.564231864293771,32.048900287493765,38.61313205761992
B-interface,4883,19,6.509122149948369,31.63307992224506,38.14220212411854
B-interface,5140,20,6.412095793449928,31.246871894425766,37.65896770819449
B-interface,5397,21,6.398310499402586,30.920570448924835,37.31888103066697
B-interface,5654,22,6.352432402914276,30.67314176774681,37.025574222035694
B-interface,5911,23,6.331428655929489,30.42616769813814,36.757596376373876
B-interface,6168,24,6.287172776488814,30.218162896960518,36.50533556556703
B-interface,6425,25,6.243318812432992,30.019183224827554,36.26250204625261
B-interface,6682,26,6.229325541731633,29.8246816731577,36.05400715120366
B-interface,6939,27,6.2404365626678,29.664379381752667,35.9048159669174
B-interface,7196,28,6.196250674428086,29.48769975757091,35.68395041330791
B-interface,7453,29,6.204255708716974,29.343163801195058,35.547419588547065
B-interface,7710,30,6.140258407751013,29.168930733767155,35.309189145716424
B-interface,7967,31,6.181083568404684,29.043806888142143,35.22489045410874
B-interface,8224,32,6.101170249563882,28.873971050899296,34.97514135889826
B-interface,8481,33,6.091114327962328,28.749741323931826,34.84085573242742
B-interface,8738,34,6.115573944861644,28.654626527016276,34.770200505376756
B-interface,8995,35,6.058542382021378,28.516343228633502,34.57488560849674
B-interface,9252,36,6.053736939079227,28.404009965649834,34.45774690964851
B-interface,9509,37,6.050078246612961,28.28938323012534,34.339461488674594
B-interface,9766,38,6.044872974750159,28.18730256947244,34.23217547811941
B-interface,10023,39,6.037390484792727,28.104490018578073,34.14188055266457
B-interface,10280,40,5.986795503723659,27.964565398559746,33.95136086284101
B-interface,10537,41,6.014242085196106,27.904704462642258,33.91894651191918
B-interface,10794,42,6.014706884816618,27.80373729662791,33.81844423297795
B-interface,11051,43,5.980223258206482,27.70857730351557,33.68880047198693
B-interface,11308,44,5.96612195627672,27.621156513189476,33.58727849023849
B-interface,11565,45,5.975348113584531,27.565303757677004,33.540651915545375
B-interface,11822,46,5.93947562460382,27.47773310695133,33.41720870791534
B-interface,12079,47,5.928152276154723,27.38175208687183,33.309904348935746
B-interface,12336,48,5.921719626178102,27.31751979920396,33.23923941102691
B-interface,12593,49,5.910866890876176,27.248392536731682,33.15925941243439
B-interface,12850,50,5.8973787460339215,27.158352927698264,33.055731735073735
B-continue,0,0,5.8973787460339215,27.158352927698264,33.055731735073735
B-continue,257,1,5.9315019907744295,27.134863940223653,33.06636588739351
B-continue,514,2,5.880344579354173,27.036245588048292,32.916590128525705
B-continue,771,3,5.864490246422357,26.97863891358473,32.843129171967654
B-continue,1028,4,5.867661398060062,26.9158816887724,32.78354307774466
B-continue,1285,5,5.8689412857861925,26.857300881298404,32.72624210810381
B-continue,1542,6,5.84908722892639,26.802653823319996,32.65174104278487
B-continue,1799,7,5.859596241248845,26.74066647840979,32.60026274656349
B-continue,2056,8,5.854762182224192,26.694994538035328,32.54975665206391
B-continue,2313,9,5.834633214812236,26.629525729635873,32.46415897434509
B-continue,2570,10,5.821426014320898,26.54890825043826,32.37033433540815
B-continue,2827,11,5.814560104147348,26.50177735304708,32.316337481946846
B-continue,3084,12,5.812566580546825,26.450025426429406,32.262592000159074
B-continue,3341,13,5.7846682157539275,26.388543311609194,32.17321151847572
