state,export,role,panel,method,mean_delta_mse,energy_distance,response_loss,without_own_response_loss,identity_advantage,output_change_mse
B-continue,external,external,all,global_mean,4.233731171800326,27.863338048386886,32.097069200468404,32.048893969150264,,
B-continue,external,external,all,model,25.378000311356008,148.17372599639057,173.5517262517779,173.55252715525228,0.3166905343357033,0.012016280279224599
B-continue,external,external,all,no_change,4.533118653454774,29.775339013445915,34.3084577028622,34.2586917691638,,
B-continue,external,external,all,perturbation_mean,4.733406054768892,34.42920393527835,39.16260989728077,39.1468713563854,,
B-continue,external,external,native_all,global_mean,4.159581395172996,28.501102574729636,32.6606839751058,32.610438317312656,,
B-continue,external,external,native_all,model,24.607306187517196,145.6902100946133,170.29751626788948,170.29949563815856,0.338114543931884,0.01232626505179203
B-continue,external,external,native_all,no_change,4.491814679852346,30.64079322644049,35.13260792724643,35.08057035635573,,
B-continue,external,external,native_all,perturbation_mean,4.589835145195959,34.303251253167986,38.8930863203817,38.881726586212544,,
B-continue,external,external,native_common,global_mean,4.161620705654976,28.513336151214325,32.674956861307706,32.62463606045705,,
B-continue,external,external,native_common,model,24.60591582548345,145.65974869732844,170.26566451235283,170.2676468427968,0.34037458946555127,0.012290306581739185
B-continue,external,external,native_common,no_change,4.493920292887291,30.652925744251622,35.1468460582427,35.094730664464315,,
B-continue,external,external,native_common,perturbation_mean,4.589835145195959,34.303251253167986,38.8930863203817,38.881726586212544,,
B-continue,external,external,seen,global_mean,4.237102380076567,27.882839397393447,32.11994175703979,32.071685320106276,,
B-continue,external,external,seen,model,25.37474506935187,148.14340700904276,173.51815202715423,173.51895428065555,0.3039553686078469,0.01199911391499776
B-continue,external,external,seen,no_change,4.5365856779378975,29.79516566196575,34.33175137602625,34.28190155537682,,
B-continue,external,external,seen,perturbation_mean,4.733406054768892,34.42920393527835,39.16260989728077,39.1468713563854,,
B-continue,external,external,unseen,global_mean,2.2337618619203568,16.29416275024414,18.52792501449585,18.52792501449585,,
B-continue,external,external,unseen,model,27.30917263031006,166.16046524047852,193.46963500976562,193.46963500976562,0.0032192230224623586,0.00722878648666665
B-continue,external,external,unseen,no_change,2.4763063788414,18.013179779052734,20.48948609828949,20.48948609828949,,
B-continue,external,val,all,global_mean,4.747498432803437,20.27004016061204,25.01753860605073,24.991051109417253,,
B-continue,external,val,all,model,5.607498238867251,25.123808517457068,30.73130678602534,30.705410095562872,0.4231426564292611,0.04258819607291983
B-continue,external,val,all,no_change,4.877595749017426,20.475006116899213,25.35260181546128,25.32582519822338,,
B-continue,external,val,all,perturbation_mean,7.1876357183533015,30.89102885872234,38.07866449624997,38.07290553769,,
B-continue,external,val,native_all,global_mean,6.070032047230181,26.391119169161993,32.46115126473699,32.43002077389663,,
B-continue,external,val,native_all,model,6.773200200061367,30.756514092230763,37.52971430963467,37.49861653655308,0.6383593711320384,0.04908892555896954
B-continue,external,val,native_all,no_change,6.347072728181362,27.364456687918732,33.711529335853925,33.67961249508778,,
B-continue,external,val,native_all,perturbation_mean,10.039035693736954,43.428144303130715,53.46717993521998,53.45799495699041,,
B-continue,external,val,native_common,global_mean,6.0193024938351,26.27548722213913,32.29478976920751,32.26318116101522,,
B-continue,external,val,native_common,model,6.716832422558532,30.63272826801021,37.349560715564486,37.317986602722236,0.6922485997067978,0.05011384393251366
B-continue,external,val,native_common,no_change,6.293661360476037,27.237443619138734,33.53110489231618,33.498697874366776,,
B-continue,external,val,native_common,perturbation_mean,10.039035693736954,43.428144303130715,53.46717993521998,53.45799495699041,,
B-continue,external,val,seen,global_mean,4.7603540020359025,20.510574426231344,25.270928454076326,25.24242623679613,,
B-continue,external,val,seen,model,5.593078255327144,25.295288445751055,30.88836673704785,30.860687906053045,0.43890903556198113,0.04392066753611392
B-continue,external,val,seen,no_change,4.899823893799088,20.769979508824175,25.66980334117132,25.64101523527945,,
B-continue,external,val,seen,perturbation_mean,7.1876357183533015,30.89102885872234,38.07866449624997,38.07290553769,,
B-continue,external,val,unseen,global_mean,7.532479180755867,28.36997667003747,35.90245557137101,35.90214720794425,,
B-continue,external,val,unseen,model,8.425584534709477,32.01616945011884,40.441753608724326,40.441490109681524,0.30676336188468745,0.03813766242224197
B-continue,external,val,unseen,no_change,7.726731053203646,28.79131102750973,36.51804270897088,36.5176776576491,,
B-continue,internal,train,all,global_mean,4.7821756688303445,21.462898862793285,26.245074522533013,26.213282609438906,,
B-continue,internal,train,all,model,5.414394746687107,25.834205296552643,31.248599999454726,31.216980662215295,,
B-continue,internal,train,all,no_change,4.916012202918124,21.727943184290165,26.64395539941334,26.61177254528374,,
B-continue,internal,train,all,perturbation_mean,1.8745978493928293,13.445245789727304,15.319843633887993,15.314952210721614,,
B-continue,internal,train,native_all,global_mean,6.598906102649646,29.44225125287439,36.04115734107547,35.98169327677518,,
B-continue,internal,train,native_all,model,7.147245761019708,33.52998591148556,40.67723161451323,40.62126446905643,,
B-continue,internal,train,native_all,no_change,6.891598627706891,30.529043171614877,37.4206418392367,37.35971229147134,,
B-continue,internal,train,native_all,perturbation_mean,3.193752260856875,21.014993349999695,24.208745603123322,24.197986135465925,,
B-continue,internal,train,native_common,global_mean,6.598906102649646,29.44225125287439,36.04115734107547,35.98169327677518,,
B-continue,internal,train,native_common,model,7.147245761019708,33.52998591148556,40.67723161451323,40.62126446905643,,
B-continue,internal,train,native_common,no_change,6.891598627706891,30.529043171614877,37.4206418392367,37.35971229147134,,
B-continue,internal,train,native_common,perturbation_mean,3.193752260856875,21.014993349999695,24.208745603123322,24.197986135465925,,
B-continue,internal,train,seen,global_mean,4.7821756688303445,21.462898862793285,26.245074522533013,26.213282609438906,,
B-continue,internal,train,seen,model,5.414394746687107,25.834205296552643,31.248599999454726,31.216980662215295,,
B-continue,internal,train,seen,no_change,4.916012202918124,21.727943184290165,26.64395539941334,26.61177254528374,,
