label,variant,lr,fold,external,status,best_epoch,stopped_epoch,best_loss,internal_ratio_equal,epoch0_val_loss,epoch0_internal_ratio_equal,anchors_ci_below,external_ratio,external_delta,external_ci_low,external_ci_high,identity_advantage,identity_ci_low,identity_ci_high,cross_mse_ratio,shared_bias_fraction_external,kept_a,kept_b,kept_c,kept,internal_ratio_ACH-000551,internal_ratio_ACH-000739,internal_ratio_ACH-000995,internal_ratio_ACH-000971,export,batch_index,panel,internal_status,external_status,native_val_loss_equal,native_external_loss
V0,V0,0.0001,hct116,ACH-000971,completed,50.0,50.0,39.57537051988411,1.2756387165124157,825.026127040181,24.695821843209046,0.0,35.30085762456859,469.1896803106431,468.6588346464431,469.6921725901982,0.014534759228448763,-0.006380013158978606,0.03651351799775226,9.540779953270134,0.9815087082106669,False,False,False,False,1.5930973340590837,1.2382884988108935,0.9955303166672694,,,,,,,,
V0,V0,0.0001,hepg2,ACH-000739,completed,50.0,50.0,23.862884686927725,1.419994524580597,675.6987092919193,34.40248238034084,1.0,10.156573158240437,502.05308546626776,495.4630208946247,508.52814919744463,0.5314320421038323,0.3486781373784274,0.7239504747306479,11.597123696765232,0.9181246122732748,False,False,True,False,1.3645084826933247,,0.9141628105913264,1.9813122804571395,,,,,,,
V0,V0,0.0001,jurkat,ACH-000995,completed,50.0,50.0,33.055731735073735,1.4950490873170652,900.6125823153849,35.523477585095286,0.0,3.9627768010663513,101.6483025624063,99.29078155864072,104.03183129733983,0.19245473037610591,0.16521376039683924,0.22098520245229075,3.0692507575000274,0.8236220045868134,False,False,True,False,1.3665669120263055,1.1349746244425591,,1.9836057254823312,,,,,,,
V0,V0,0.0001,k562,ACH-000551,completed,50.0,50.0,40.40692360429001,1.3647943399308546,796.5742520291465,23.251937238628233,0.0,19.89127067097426,208.47027509562122,207.43030252143325,209.48682271040522,0.124028297018183,0.09610491905119027,0.15672522025912622,4.195095965395497,0.9624455710524363,False,False,True,False,,1.1550313302400375,0.9351139490454633,2.0042377405070635,,,,,,,
V0-lr1e-5,V0,1e-05,jurkat,ACH-000995,completed,50.0,50.0,133.6722072697794,7.027422409739541,900.6125823153849,35.523477585095286,0.0,4.632541228569723,124.62688709428744,122.52599628455107,126.83164187543123,0.01554341522845909,0.005631525042080132,0.02495623745434828,3.436217783139468,0.7823087983379453,False,False,True,False,8.310645776694763,3.874895999750002,,8.896725452773858,,,,,,,
V0-lr1e-6,V0,1e-06,jurkat,ACH-000995,completed,50.0,50.0,600.1221699012275,34.18650676086663,900.6125823153849,35.523477585095286,0.0,10.198049221700682,315.5708826715624,311.53449142456907,319.780913937646,0.013507200119924111,-0.04955681347877048,0.07530874662355226,7.52201592890742,0.9114908084540778,False,False,False,False,50.21439986951738,15.811738697467288,,36.533381715615214,,,,,,,
V1,V1,0.0001,hct116,ACH-000971,completed,22.0,27.0,30.635991212487266,0.9199728377891305,33.40751857857486,1.0,3.0,1.0547828945021338,0.749356445814847,0.7356413942897597,0.7622319485663713,0.002516340475514107,-0.004081147158031451,0.009235598378678577,0.9895662060795003,0.2276143783101935,True,False,False,False,0.9545778162969821,0.9567691958981597,0.8485715011722496,,,,,,,,
V1,V1,0.0001,hepg2,ACH-000739,completed,31.0,36.0,16.93347169184434,0.8813230124007868,19.640987002671775,1.0,3.0,1.001671973802851,0.09167399113550374,-0.09496573725316422,0.28473523760674424,0.03735294945860892,0.011268029420577445,0.06124087006342623,0.963930372148223,0.0476748139792402,True,False,True,False,0.9434518555109295,,0.8411350398860196,0.8593821418054113,,,,,,,
V1,V1,0.0001,jurkat,ACH-000995,completed,8.0,13.0,23.990520432767642,0.9307920681114837,25.35260181546128,1.0,3.0,1.0217640170976594,0.7466898600394153,0.5870558607287402,0.9059064076184524,0.9234927074619336,0.7594617549837464,1.0964288138816676,1.0108195018997457,0.23536413216565885,True,False,True,False,0.9579279723800739,0.9609819027598681,,0.8734663291945091,,,,,,,
V1,V1,0.0001,k562,ACH-000551,completed,22.0,27.0,30.93039512933379,0.8866677872622365,34.25840366994475,1.0,3.0,1.0442842004602255,0.48868811490364084,0.4395963568213811,0.5351215373787762,0.09438806931728881,0.08395671135420557,0.10557464529592454,0.9622676546769118,0.06240634753032176,True,False,True,False,,0.9576273852991282,0.8342397524697215,0.8681362240178601,,,,,,,
V2,V2,0.0001,hct116,ACH-000971,completed,50.0,50.0,36.9260790047702,1.1701479426426256,438.0597569435725,13.112609842998397,1.0,27.665556200941634,364.74900791588146,364.3781174962982,365.1013133162337,0.0602993130572703,-0.04204491645802505,0.1793104641426413,7.443188415202687,0.9753985086995013,False,False,False,False,1.41333825232019,1.1701732563549712,0.9269323192527151,,,,,,,,
V2,V2,0.0001,hepg2,ACH-000739,completed,50.0,50.0,21.7372787468663,1.2755716629124978,336.34884357592364,17.124844262163094,1.0,5.617739519204957,253.1897395926962,249.41279011604712,256.9723061825957,1.8857721584706835,1.6343773047624137,2.141286296451297,6.122103772041015,0.8466377344943005,False,False,True,False,1.2630782889755017,,0.8625502269231425,1.701086472838849,,,,,,,
V2,V2,0.0001,jurkat,ACH-000995,completed,50.0,50.0,31.044662430442433,1.3755623403335304,465.64427792837984,18.36672548710195,0.0,2.8601224873526023,63.81793367947959,62.17764564445653,65.49448819362821,1.1062939592103873,0.9792324322374317,1.2411032337755228,2.2811557138011347,0.7500865685335394,False,False,True,False,1.2964216418319834,1.092501815841375,,1.7377635633272328,,,,,,,
V2,V2,0.0001,k562,ACH-000551,completed,50.0,50.0,37.62398930346897,1.2329753149467177,389.09923451352506,11.357774818179454,1.0,11.849309842261565,119.72506491524722,119.11781952158786,120.31302017086614,1.0453116734952264,0.9421746284699604,1.1543360032379784,2.7062962747880626,0.9324372890560747,False,False,True,False,,1.103466446612606,0.8812795660155458,1.7141799322120015,,,,,,,
V2-null,V2-null,0.0001,hct116,ACH-000971,completed,50.0,50.0,393.1054872759207,19.21389930747505,438.0597569435725,13.112609842998397,0.0,21.11535253405553,275.1510159917787,274.6262352021372,275.6348205838943,-0.0004201003756215872,-0.006420875365122704,0.005856718752511777,8.348762793344344,0.9630163977476656,False,False,False,False,41.665471370981344,10.663960229506134,5.31226632193767,,,,,,,,
V2-null,V2-null,0.0001,hepg2,ACH-000739,completed,50.0,50.0,287.47517726586887,22.60251414912968,336.34884357592364,17.124844262163094,0.0,10.044760893643769,495.9224412324903,490.78614914814466,500.8978614817059,0.027308863413950384,-0.01737358683841711,0.0741264815083754,7.250144232982852,0.909485282932505,False,False,False,False,40.39659600745287,,5.057972813870885,22.352973626065275,,,,,,,
V2-null,V2-null,0.0001,jurkat,ACH-000995,completed,50.0,50.0,409.04714440627896,24.173046626780675,465.64427792837984,18.36672548710195,0.0,5.150831388169248,142.40862311271744,140.40137386042178,144.41424341070888,0.03450477577629933,0.021389790664563677,0.0465810712927472,6.669314794623159,0.8254926053741527,False,False,True,False,39.835886186836184,10.336939599083456,,22.34631409442238,,,,,,,
V2-null,V2-null,0.0001,k562,ACH-000551,completed,50.0,50.0,342.97658695229364,12.666298046113846,389.09923451352506,11.357774818179454,0.0,36.45723472137348,391.2801634805824,389.9957119127785,392.480468983751,0.007989705175422995,-0.011783706735839429,0.028820399113779302,6.217000996478929,0.9783293744034571,False,False,False,False,,10.480625466649233,5.110490469231336,22.407778202460968,,,,,,,
