,,,,mean_delta_mse,mean_delta_mse,energy_distance,energy_distance,response_loss,response_loss
,,,,mean,count,mean,count,mean,count
role,model_id,panel,method,,,,,,
external,ACH-000995,native_all,global_mean,4.159581395172996,2009,28.501102574729636,2009,32.6606839751058,2009
external,ACH-000995,native_all,model,26.22414798128955,2009,195.7964735928313,2009,222.02062180909783,2009
external,ACH-000995,native_all,no_change,4.491814679852346,2009,30.64079322644049,2009,35.13260792724643,2009
external,ACH-000995,native_all,perturbation_mean,4.589835145195959,2006,34.303251253167986,2006,38.8930863203817,2006
external,ACH-000995,native_common,global_mean,4.161620705654976,2006,28.513336151214325,2006,32.674956861307706,2006
external,ACH-000995,native_common,model,26.22479044998869,2006,195.78362348714356,2006,222.00841416485406,2006
external,ACH-000995,native_common,no_change,4.493920292887291,2006,30.652925744251622,2006,35.1468460582427,2006
external,ACH-000995,native_common,perturbation_mean,4.589835145195959,2006,34.303251253167986,2006,38.8930863203817,2006
val,ACH-000551,native_all,global_mean,3.124489939714573,196,19.360109523851044,196,22.48459958665225,196
val,ACH-000551,native_all,model,65.14744896791419,196,367.04002349230706,196,432.18747275216236,196
val,ACH-000551,native_all,no_change,3.2209405091268066,196,19.591210423683634,196,22.81215089681197,196
val,ACH-000551,native_all,perturbation_mean,9.174673119357212,193,43.38596063327295,193,52.56063343453284,193
val,ACH-000551,native_common,global_mean,3.14173046549676,193,19.429697224513237,193,22.57142781593639,193
val,ACH-000551,native_common,model,65.07013664838564,193,366.8032963411796,193,431.8734333255748,193
val,ACH-000551,native_common,no_change,3.234366671215994,193,19.64115969010585,193,22.87552633433762,193
val,ACH-000551,native_common,perturbation_mean,9.174673119357212,193,43.38596063327295,193,52.56063343453284,193
val,ACH-000739,native_all,global_mean,12.069312405320677,202,42.2011407531134,202,54.270453219366544,202
val,ACH-000739,native_all,model,140.1740591219156,202,482.70018534141013,202,622.8742446144029,202
val,ACH-000739,native_all,no_change,12.451874537559428,202,43.506730183516396,202,55.958604493943774,202
val,ACH-000739,native_all,perturbation_mean,14.839943147184862,199,50.110670386846344,199,64.95061349868774,199
val,ACH-000739,native_common,global_mean,11.868946428125229,199,41.633971707904756,199,53.502918207465704,199
val,ACH-000739,native_common,model,139.8674997300958,199,482.33499973623,199,622.2024993129711,199
val,ACH-000739,native_common,no_change,12.244486088054863,199,42.910804480164494,199,55.1552903089092,199
val,ACH-000739,native_common,perturbation_mean,14.839943147184862,199,50.110670386846344,199,64.95061349868774,199
val,ACH-000971,native_all,global_mean,3.016293796655294,185,17.612107230521538,185,20.628400988192173,185
val,ACH-000971,native_all,model,45.40244564365696,185,265.64363634264146,185,311.04608278016786,185
val,ACH-000971,native_all,no_change,3.3684031378578494,185,18.995429456556167,185,22.36383261680603,185
val,ACH-000971,native_all,perturbation_mean,6.1024908146687915,182,36.787801889272835,182,42.890292872439375,182
val,ACH-000971,native_common,global_mean,3.04723058788331,182,17.762792733999397,182,20.810023284220435,182
val,ACH-000971,native_common,model,45.349431876297835,182,265.5411127111414,182,310.8905454363142,182
val,ACH-000971,native_common,no_change,3.402131322157252,182,19.160366687145864,182,22.56249803370172,182
val,ACH-000971,native_common,perturbation_mean,6.1024908146687915,182,36.787801889272835,182,42.890292872439375,182
