,,,,mean_delta_mse,mean_delta_mse,energy_distance,energy_distance,response_loss,response_loss
,,,,mean,count,mean,count,mean,count
role,model_id,panel,method,,,,,,
train,ACH-000551,native_all,global_mean,3.9619075036219846,1813,23.06706426318548,1813,27.028971771081377,1813
train,ACH-000551,native_all,model,64.85275411632136,1813,366.08358150257044,1813,430.93633536640215,1813
train,ACH-000551,native_all,no_change,4.077555349179874,1813,23.41392284799398,1813,27.491478265613992,1813
train,ACH-000551,native_all,perturbation_mean,2.4054213679229974,1813,17.869412817221217,1813,20.274834190753698,1813
train,ACH-000551,native_common,global_mean,3.9619075036219846,1813,23.06706426318548,1813,27.028971771081377,1813
train,ACH-000551,native_common,model,64.85275411632136,1813,366.08358150257044,1813,430.93633536640215,1813
train,ACH-000551,native_common,no_change,4.077555349179874,1813,23.41392284799398,1813,27.491478265613992,1813
train,ACH-000551,native_common,perturbation_mean,2.4054213679229974,1813,17.869412817221217,1813,20.274834190753698,1813
train,ACH-000739,native_all,global_mean,11.495613880121516,1807,42.879740095956585,1807,54.37535392558568,1807
train,ACH-000739,native_all,model,132.00128142162126,1807,471.3107220935241,1807,603.3120034771462,1807
train,ACH-000739,native_all,no_change,11.852109422465022,1807,44.263955154798936,1807,56.11606459005405,1807
train,ACH-000739,native_all,perturbation_mean,4.225167796250932,1807,23.451750197460722,1807,27.676917986508293,1807
train,ACH-000739,native_common,global_mean,11.495613880121516,1807,42.879740095956585,1807,54.37535392558568,1807
train,ACH-000739,native_common,model,132.00128142162126,1807,471.3107220935241,1807,603.3120034771462,1807
train,ACH-000739,native_common,no_change,11.852109422465022,1807,44.263955154798936,1807,56.11606459005405,1807
train,ACH-000739,native_common,perturbation_mean,4.225167796250932,1807,23.451750197460722,1807,27.676917986508293,1807
train,ACH-000971,native_all,global_mean,4.339196924205434,1748,22.379949399481102,1748,26.719146326559358,1748
train,ACH-000971,native_all,model,48.40694497106277,1748,275.2526815837799,1748,323.65962624277074,1748
train,ACH-000971,native_all,no_change,4.745131111475778,1748,23.90925151205172,1748,28.654382662042053,1748
train,ACH-000971,native_all,perturbation_mean,2.950667618396696,1748,21.723817035317147,1748,24.674484632107976,1748
train,ACH-000971,native_common,global_mean,4.339196924205434,1748,22.379949399481102,1748,26.719146326559358,1748
train,ACH-000971,native_common,model,48.40694497106277,1748,275.2526815837799,1748,323.65962624277074,1748
train,ACH-000971,native_common,no_change,4.745131111475778,1748,23.90925151205172,1748,28.654382662042053,1748
train,ACH-000971,native_common,perturbation_mean,2.950667618396696,1748,21.723817035317147,1748,24.674484632107976,1748
val,ACH-000551,native_all,global_mean,3.124489939714573,196,19.360109523851044,196,22.48459958665225,196
val,ACH-000551,native_all,model,65.14744896791419,196,367.04002349230706,196,432.18747275216236,196
val,ACH-000551,native_all,no_change,3.2209405091268066,196,19.591210423683634,196,22.81215089681197,196
val,ACH-000551,native_all,perturbation_mean,9.174673119357212,193,43.38596063327295,193,52.56063343453284,193
val,ACH-000551,native_common,global_mean,3.14173046549676,193,19.429697224513237,193,22.57142781593639,193
val,ACH-000551,native_common,model,65.07013664838564,193,366.8032963411796,193,431.8734333255748,193
val,ACH-000551,native_common,no_change,3.234366671215994,193,19.64115969010585,193,22.87552633433762,193
val,ACH-000551,native_common,perturbation_mean,9.174673119357212,193,43.38596063327295,193,52.56063343453284,193
val,ACH-000739,native_all,global_mean,12.069312405320677,202,42.2011407531134,202,54.270453219366544,202
val,ACH-000739,native_all,model,140.1740591219156,202,482.70018534141013,202,622.8742446144029,202
val,ACH-000739,native_all,no_change,12.451874537559428,202,43.506730183516396,202,55.958604493943774,202
val,ACH-000739,native_all,perturbation_mean,14.839943147184862,199,50.110670386846344,199,64.95061349868774,199
val,ACH-000739,native_common,global_mean,11.868946428125229,199,41.633971707904756,199,53.502918207465704,199
val,ACH-000739,native_common,model,139.8674997300958,199,482.33499973623,199,622.2024993129711,199
val,ACH-000739,native_common,no_change,12.244486088054863,199,42.910804480164494,199,55.1552903089092,199
val,ACH-000739,native_common,perturbation_mean,14.839943147184862,199,50.110670386846344,199,64.95061349868774,199
val,ACH-000971,native_all,global_mean,3.016293796655294,185,17.612107230521538,185,20.628400988192173,185
val,ACH-000971,native_all,model,45.40244564365696,185,265.64363634264146,185,311.04608278016786,185
val,ACH-000971,native_all,no_change,3.3684031378578494,185,18.995429456556167,185,22.36383261680603,185
val,ACH-000971,native_all,perturbation_mean,6.1024908146687915,182,36.787801889272835,182,42.890292872439375,182
val,ACH-000971,native_common,global_mean,3.04723058788331,182,17.762792733999397,182,20.810023284220435,182
val,ACH-000971,native_common,model,45.349431876297835,182,265.5411127111414,182,310.8905454363142,182
val,ACH-000971,native_common,no_change,3.402131322157252,182,19.160366687145864,182,22.56249803370172,182
val,ACH-000971,native_common,perturbation_mean,6.1024908146687915,182,36.787801889272835,182,42.890292872439375,182
