method,model_id,role,n,total_mse,shared_bias,condition_specific,shared_bias_fraction,state,export
model,ACH-000551,val,983,1.2243527909834417,0.18518696515406147,1.0391658258293806,0.15125294483570623,B-continue,external
model,ACH-000739,val,238,12.597826759711818,1.8792294120677004,10.718597347644117,0.14917092034298532,B-continue,external
model,ACH-000971,val,1826,3.000315318361238,1.6821427590049132,1.3181725593563243,0.5606553246955703,B-continue,external
model,ACH-000995,external,2377,25.378000709442194,21.853843327527557,3.5241573819146357,0.8611333720783043,B-continue,external
no_change,ACH-000551,val,983,1.1182212759910315,0.055410945921945474,1.0628103300690857,0.04955275589157176,B-continue,external
no_change,ACH-000739,val,238,11.834330804928847,0.9309779798933024,10.903352825035544,0.07866756432949822,B-continue,external
no_change,ACH-000971,val,1826,1.680235449736088,0.36330209697478644,1.3169333527613014,0.21622094512519047,B-continue,external
no_change,ACH-000995,external,2377,4.5331187688580705,0.9705318126838394,3.5625869561742314,0.21409803320205623,B-continue,external
global_mean,ACH-000551,val,983,1.2211548787542021,0.15834454868511638,1.0628103300690857,0.12966786722963128,B-continue,external
global_mean,ACH-000739,val,238,11.49412838193266,0.5907755568971191,10.903352825035544,0.05139803013038769,B-continue,external
global_mean,ACH-000971,val,1826,1.5272129609879554,0.21027960822665454,1.3169333527613014,0.13768846493459855,B-continue,external
global_mean,ACH-000995,external,2377,4.233731916572968,0.6711449603987368,3.5625869561742314,0.15852325409918752,B-continue,external
perturbation_mean,ACH-000551,val,874,3.8260551281795934,0.45691516446839997,3.369139963711193,0.11942200233946879,B-continue,external
perturbation_mean,ACH-000739,val,234,14.62125269430418,1.0500339057253356,13.571218788578841,0.07181559115891514,B-continue,external
perturbation_mean,ACH-000971,val,864,3.1155989241979247,0.5152714428928776,2.6003274813050474,0.16538439492032125,B-continue,external
perturbation_mean,ACH-000995,external,2373,4.733406117520742,0.4320093479588457,4.301396769561896,0.09126817712931065,B-continue,external
model,ACH-000551,train,8823,1.4252622112004805,0.17683224938446873,1.248429961816012,0.12406997673468459,B-continue,internal
model,ACH-000551,val,983,1.2243527909834417,0.18518696515406147,1.0391658258293806,0.15125294483570623,B-continue,internal
model,ACH-000739,train,2139,11.596488440813888,1.396054188272956,10.20043425254093,0.12038594229607799,B-continue,internal
model,ACH-000739,val,238,12.597826759711818,1.8792294120677004,10.718597347644117,0.14917092034298532,B-continue,internal
model,ACH-000971,train,16399,3.221433825551352,1.676961991130444,1.5444718344209085,0.5205638488766505,B-continue,internal
model,ACH-000971,val,1826,3.000317012828391,1.6821425974889255,1.318174415339466,0.5606549542253784,B-continue,internal
no_change,ACH-000551,train,8823,1.3649843750672113,0.060668607903343656,1.3043157671638674,0.044446375366279454,B-continue,internal
no_change,ACH-000551,val,983,1.1182212759910315,0.055410945921945474,1.0628103300690857,0.04955275589157176,B-continue,internal
no_change,ACH-000739,train,2139,11.450284545844015,0.5810675716163761,10.869216974227639,0.0507469984077627,B-continue,internal
no_change,ACH-000739,val,238,11.834330804928847,0.9309779798933024,10.903352825035544,0.07866756432949822,B-continue,internal
no_change,ACH-000971,train,16399,1.9327679733727614,0.3806127417709004,1.552155231601861,0.19692624619949342,B-continue,internal
no_change,ACH-000971,val,1826,1.680235449736088,0.36330209697478644,1.3169333527613014,0.21622094512519047,B-continue,internal
global_mean,ACH-000551,train,8823,1.464669721438361,0.16035395427449367,1.3043157671638674,0.10948130621354009,B-continue,internal
global_mean,ACH-000551,val,983,1.2211548787542021,0.15834454868511638,1.0628103300690857,0.12966786722963128,B-continue,internal
global_mean,ACH-000739,train,2139,11.110831582948792,0.24161460872115303,10.869216974227639,0.02174586185717604,B-continue,internal
global_mean,ACH-000739,val,238,11.49412838193266,0.5907755568971191,10.903352825035544,0.05139803013038769,B-continue,internal
global_mean,ACH-000971,train,16399,1.771026717128244,0.2188714855263832,1.552155231601861,0.12358451931277907,B-continue,internal
global_mean,ACH-000971,val,1826,1.5272129609879554,0.21027960822665454,1.3169333527613014,0.13768846493459855,B-continue,internal
perturbation_mean,ACH-000551,train,8823,0.9713852956993555,0.10276042486299514,0.8686248708363604,0.10578750297945581,B-continue,internal
perturbation_mean,ACH-000551,val,874,3.8260551281795934,0.45691516446839997,3.369139963711193,0.11942200233946879,B-continue,internal
perturbation_mean,ACH-000739,train,2139,4.084371187674019,0.21978211796496938,3.8645890697090493,0.053810515221593164,B-continue,internal
perturbation_mean,ACH-000739,val,234,14.62125269430418,1.0500339057253356,13.571218788578841,0.07181559115891514,B-continue,internal
perturbation_mean,ACH-000971,train,16399,0.5680372419600728,0.0345460929071092,0.5334911490529636,0.060816598552419276,B-continue,internal
perturbation_mean,ACH-000971,val,864,3.1155989241979247,0.5152714428928776,2.6003274813050474,0.16538439492032125,B-continue,internal
model,ACH-000551,val,983,121.86209406848388,120.78420716854339,1.0778868999404918,0.9911548631411606,B-init,external
model,ACH-000739,val,238,257.09110014726554,246.1700806156286,10.92101953163697,0.9575208183971315,B-init,external
model,ACH-000971,val,1826,107.88530664498028,106.55673006247588,1.3285765825043931,0.9876852870532559,B-init,external
model,ACH-000995,external,2377,57.412223726940354,53.83405803733965,3.578165689600706,0.9376758909980756,B-init,external
no_change,ACH-000551,val,983,1.1182212759910315,0.055410945921945474,1.0628103300690857,0.04955275589157176,B-init,external
no_change,ACH-000739,val,238,11.834330804928847,0.9309779798933024,10.903352825035544,0.07866756432949822,B-init,external
no_change,ACH-000971,val,1826,1.680235449736088,0.36330209697478644,1.3169333527613014,0.21622094512519047,B-init,external
no_change,ACH-000995,external,2377,4.5331187688580705,0.9705318126838394,3.5625869561742314,0.21409803320205623,B-init,external
global_mean,ACH-000551,val,983,1.2211548787542021,0.15834454868511638,1.0628103300690857,0.12966786722963128,B-init,external
global_mean,ACH-000739,val,238,11.49412838193266,0.5907755568971191,10.903352825035544,0.05139803013038769,B-init,external
global_mean,ACH-000971,val,1826,1.5272129609879554,0.21027960822665454,1.3169333527613014,0.13768846493459855,B-init,external
global_mean,ACH-000995,external,2377,4.233731916572968,0.6711449603987368,3.5625869561742314,0.15852325409918752,B-init,external
perturbation_mean,ACH-000551,val,874,3.8260551281795934,0.45691516446839997,3.369139963711193,0.11942200233946879,B-init,external
perturbation_mean,ACH-000739,val,234,14.62125269430418,1.0500339057253356,13.571218788578841,0.07181559115891514,B-init,external
perturbation_mean,ACH-000971,val,864,3.1155989241979247,0.5152714428928776,2.6003274813050474,0.16538439492032125,B-init,external
perturbation_mean,ACH-000995,external,2373,4.733406117520742,0.4320093479588457,4.301396769561896,0.09126817712931065,B-init,external
model,ACH-000551,train,8823,121.4058570202899,120.08768955461352,1.318167465676388,0.9891424722165086,B-init,internal
model,ACH-000551,val,983,121.86209406848388,120.78420716854339,1.0778868999404918,0.9911548631411606,B-init,internal
model,ACH-000739,train,2139,244.34871219199488,233.4647026469892,10.884009545005704,0.9554570619694788,B-init,internal
model,ACH-000739,val,238,257.09110014726554,246.1700806156286,10.92101953163697,0.9575208183971315,B-init,internal
model,ACH-000971,train,16399,107.86296469234036,106.29893007351369,1.5640346188266683,0.9854997994604747,B-init,internal
model,ACH-000971,val,1826,107.8853061845123,106.5567295896555,1.328576594856806,0.9876852868861995,B-init,internal
no_change,ACH-000551,train,8823,1.3649843750672113,0.060668607903343656,1.3043157671638674,0.044446375366279454,B-init,internal
no_change,ACH-000551,val,983,1.1182212759910315,0.055410945921945474,1.0628103300690857,0.04955275589157176,B-init,internal
no_change,ACH-000739,train,2139,11.450284545844015,0.5810675716163761,10.869216974227639,0.0507469984077627,B-init,internal
no_change,ACH-000739,val,238,11.834330804928847,0.9309779798933024,10.903352825035544,0.07866756432949822,B-init,internal
no_change,ACH-000971,train,16399,1.9327679733727614,0.3806127417709004,1.552155231601861,0.19692624619949342,B-init,internal
no_change,ACH-000971,val,1826,1.680235449736088,0.36330209697478644,1.3169333527613014,0.21622094512519047,B-init,internal
global_mean,ACH-000551,train,8823,1.464669721438361,0.16035395427449367,1.3043157671638674,0.10948130621354009,B-init,internal
global_mean,ACH-000551,val,983,1.2211548787542021,0.15834454868511638,1.0628103300690857,0.12966786722963128,B-init,internal
global_mean,ACH-000739,train,2139,11.110831582948792,0.24161460872115303,10.869216974227639,0.02174586185717604,B-init,internal
global_mean,ACH-000739,val,238,11.49412838193266,0.5907755568971191,10.903352825035544,0.05139803013038769,B-init,internal
global_mean,ACH-000971,train,16399,1.771026717128244,0.2188714855263832,1.552155231601861,0.12358451931277907,B-init,internal
global_mean,ACH-000971,val,1826,1.5272129609879554,0.21027960822665454,1.3169333527613014,0.13768846493459855,B-init,internal
perturbation_mean,ACH-000551,train,8823,0.9713852956993555,0.10276042486299514,0.8686248708363604,0.10578750297945581,B-init,internal
perturbation_mean,ACH-000551,val,874,3.8260551281795934,0.45691516446839997,3.369139963711193,0.11942200233946879,B-init,internal
perturbation_mean,ACH-000739,train,2139,4.084371187674019,0.21978211796496938,3.8645890697090493,0.053810515221593164,B-init,internal
perturbation_mean,ACH-000739,val,234,14.62125269430418,1.0500339057253356,13.571218788578841,0.07181559115891514,B-init,internal
perturbation_mean,ACH-000971,train,16399,0.5680372419600728,0.0345460929071092,0.5334911490529636,0.060816598552419276,B-init,internal
perturbation_mean,ACH-000971,val,864,3.1155989241979247,0.5152714428928776,2.6003274813050474,0.16538439492032125,B-init,internal
model,ACH-000551,val,983,1.3359233697408803,0.29005884182118724,1.0458645279196932,0.21712236524273687,B-interface,external
model,ACH-000739,val,238,13.122293164504077,2.3434502561128125,10.778842908391264,0.17858542152158793,B-interface,external
model,ACH-000971,val,1826,3.233919730913953,1.9173422763086985,1.3165774546052555,0.5928849309339009,B-interface,external
model,ACH-000995,external,2377,20.06163513805919,16.523204147697566,3.538430990361628,0.8236220045868134,B-interface,external
no_change,ACH-000551,val,983,1.1182212759910315,0.055410945921945474,1.0628103300690857,0.04955275589157176,B-interface,external
no_change,ACH-000739,val,238,11.834330804928847,0.9309779798933024,10.903352825035544,0.07866756432949822,B-interface,external
no_change,ACH-000971,val,1826,1.680235449736088,0.36330209697478644,1.3169333527613014,0.21622094512519047,B-interface,external
no_change,ACH-000995,external,2377,4.5331187688580705,0.9705318126838394,3.5625869561742314,0.21409803320205623,B-interface,external
global_mean,ACH-000551,val,983,1.2211548787542021,0.15834454868511638,1.0628103300690857,0.12966786722963128,B-interface,external
global_mean,ACH-000739,val,238,11.49412838193266,0.5907755568971191,10.903352825035544,0.05139803013038769,B-interface,external
global_mean,ACH-000971,val,1826,1.5272129609879554,0.21027960822665454,1.3169333527613014,0.13768846493459855,B-interface,external
global_mean,ACH-000995,external,2377,4.233731916572968,0.6711449603987368,3.5625869561742314,0.15852325409918752,B-interface,external
perturbation_mean,ACH-000551,val,874,3.8260551281795934,0.45691516446839997,3.369139963711193,0.11942200233946879,B-interface,external
perturbation_mean,ACH-000739,val,234,14.62125269430418,1.0500339057253356,13.571218788578841,0.07181559115891514,B-interface,external
perturbation_mean,ACH-000971,val,864,3.1155989241979247,0.5152714428928776,2.6003274813050474,0.16538439492032125,B-interface,external
perturbation_mean,ACH-000995,external,2373,4.733406117520742,0.4320093479588457,4.301396769561896,0.09126817712931065,B-interface,external
model,ACH-000551,train,8823,1.5538124434582217,0.2813672138038907,1.272445229654331,0.18108183840880404,B-interface,internal
model,ACH-000551,val,983,1.3359233697408803,0.29005884182118724,1.0458645279196932,0.21712236524273687,B-interface,internal
model,ACH-000739,train,2139,12.183443538752629,1.7443624423637867,10.43908109638884,0.1431748287596512,B-interface,internal
model,ACH-000739,val,238,13.122293164504077,2.3434502561128125,10.778842908391264,0.17858542152158793,B-interface,internal
model,ACH-000971,train,16399,3.459882467013422,1.9121738428941963,1.5477086241192262,0.552670173372909,B-interface,internal
model,ACH-000971,val,1826,3.2339199863876584,1.9173424976469071,1.316577488740752,0.5928849525397845,B-interface,internal
no_change,ACH-000551,train,8823,1.3649843750672113,0.060668607903343656,1.3043157671638674,0.044446375366279454,B-interface,internal
no_change,ACH-000551,val,983,1.1182212759910315,0.055410945921945474,1.0628103300690857,0.04955275589157176,B-interface,internal
no_change,ACH-000739,train,2139,11.450284545844015,0.5810675716163761,10.869216974227639,0.0507469984077627,B-interface,internal
no_change,ACH-000739,val,238,11.834330804928847,0.9309779798933024,10.903352825035544,0.07866756432949822,B-interface,internal
no_change,ACH-000971,train,16399,1.9327679733727614,0.3806127417709004,1.552155231601861,0.19692624619949342,B-interface,internal
no_change,ACH-000971,val,1826,1.680235449736088,0.36330209697478644,1.3169333527613014,0.21622094512519047,B-interface,internal
global_mean,ACH-000551,train,8823,1.464669721438361,0.16035395427449367,1.3043157671638674,0.10948130621354009,B-interface,internal
global_mean,ACH-000551,val,983,1.2211548787542021,0.15834454868511638,1.0628103300690857,0.12966786722963128,B-interface,internal
global_mean,ACH-000739,train,2139,11.110831582948792,0.24161460872115303,10.869216974227639,0.02174586185717604,B-interface,internal
global_mean,ACH-000739,val,238,11.49412838193266,0.5907755568971191,10.903352825035544,0.05139803013038769,B-interface,internal
global_mean,ACH-000971,train,16399,1.771026717128244,0.2188714855263832,1.552155231601861,0.12358451931277907,B-interface,internal
global_mean,ACH-000971,val,1826,1.5272129609879554,0.21027960822665454,1.3169333527613014,0.13768846493459855,B-interface,internal
perturbation_mean,ACH-000551,train,8823,0.9713852956993555,0.10276042486299514,0.8686248708363604,0.10578750297945581,B-interface,internal
perturbation_mean,ACH-000551,val,874,3.8260551281795934,0.45691516446839997,3.369139963711193,0.11942200233946879,B-interface,internal
perturbation_mean,ACH-000739,train,2139,4.084371187674019,0.21978211796496938,3.8645890697090493,0.053810515221593164,B-interface,internal
perturbation_mean,ACH-000739,val,234,14.62125269430418,1.0500339057253356,13.571218788578841,0.07181559115891514,B-interface,internal
perturbation_mean,ACH-000971,train,16399,0.5680372419600728,0.0345460929071092,0.5334911490529636,0.060816598552419276,B-interface,internal
perturbation_mean,ACH-000971,val,864,3.1155989241979247,0.5152714428928776,2.6003274813050474,0.16538439492032125,B-interface,internal
model,ACH-000551,val,983,76.24259532447788,75.17714113387602,1.065454190601827,0.9860254732139242,B-joint,external
model,ACH-000739,val,238,184.45089972682604,173.54534236180203,10.905557365023968,0.9408755534335952,B-joint,external
model,ACH-000971,val,1826,57.19267090770825,55.87119707775189,1.3214738299563666,0.9768943501154401,B-joint,external
model,ACH-000995,external,2377,27.244249044573042,23.685594982973132,3.5586540615999107,0.8693796237225052,B-joint,external
no_change,ACH-000551,val,983,1.1182212759910315,0.055410945921945474,1.0628103300690857,0.04955275589157176,B-joint,external
no_change,ACH-000739,val,238,11.834330804928847,0.9309779798933024,10.903352825035544,0.07866756432949822,B-joint,external
no_change,ACH-000971,val,1826,1.680235449736088,0.36330209697478644,1.3169333527613014,0.21622094512519047,B-joint,external
no_change,ACH-000995,external,2377,4.5331187688580705,0.9705318126838394,3.5625869561742314,0.21409803320205623,B-joint,external
global_mean,ACH-000551,val,983,1.2211548787542021,0.15834454868511638,1.0628103300690857,0.12966786722963128,B-joint,external
global_mean,ACH-000739,val,238,11.49412838193266,0.5907755568971191,10.903352825035544,0.05139803013038769,B-joint,external
global_mean,ACH-000971,val,1826,1.5272129609879554,0.21027960822665454,1.3169333527613014,0.13768846493459855,B-joint,external
global_mean,ACH-000995,external,2377,4.233731916572968,0.6711449603987368,3.5625869561742314,0.15852325409918752,B-joint,external
perturbation_mean,ACH-000551,val,874,3.8260551281795934,0.45691516446839997,3.369139963711193,0.11942200233946879,B-joint,external
perturbation_mean,ACH-000739,val,234,14.62125269430418,1.0500339057253356,13.571218788578841,0.07181559115891514,B-joint,external
perturbation_mean,ACH-000971,val,864,3.1155989241979247,0.5152714428928776,2.6003274813050474,0.16538439492032125,B-joint,external
perturbation_mean,ACH-000995,external,2373,4.733406117520742,0.4320093479588457,4.301396769561896,0.09126817712931065,B-joint,external
model,ACH-000551,train,8823,75.93852301301902,74.63199459721935,1.3065284157996737,0.9827949193115636,B-joint,internal
model,ACH-000551,val,983,76.24259532447788,75.17714113387602,1.065454190601827,0.9860254732139242,B-joint,internal
model,ACH-000739,train,2139,173.7999270446303,162.93163274662362,10.868294298006711,0.9374666348667926,B-joint,internal
model,ACH-000739,val,238,184.45089972682604,173.54534236180203,10.905557365023968,0.9408755534335952,B-joint,internal
model,ACH-000971,train,16399,57.24404130633505,55.687761225224776,1.5562800811102764,0.9728132388001396,B-joint,internal
model,ACH-000971,val,1826,57.19266938946485,55.87119779131522,1.3214715981496237,0.976894388524676,B-joint,internal
no_change,ACH-000551,train,8823,1.3649843750672113,0.060668607903343656,1.3043157671638674,0.044446375366279454,B-joint,internal
no_change,ACH-000551,val,983,1.1182212759910315,0.055410945921945474,1.0628103300690857,0.04955275589157176,B-joint,internal
