perturbation_id,des_k,mae_top2000_k,rank_Rk_norm,overall_score,rank_Rk,cosine_self,n_true_de,n_pred_de,n_intersect,n_cells
AKT2,0.04136893569010906,0.06311629712581635,0.6666666666666666,16.60935423269307,20,0.05957551300525665,2659,16340,110,938
MAP3K7,0.04648760330578512,0.03557216003537178,0.9,23.907747738375253,27,-0.08395934104919434,1936,16603,90,2019
ZNF426,0.037868162692847124,0.02843596786260605,0.6333333333333333,25.798630667036022,19,0.06480427086353302,1426,16153,54,1132
DNMT1,0.4079758037414585,0.2786147892475128,0.5666666666666667,12.593301935241143,17,0.21046045422554016,8927,15984,3642,893
SRC,0.042265080016413624,0.02753354236483574,0.4666666666666667,29.265495868527854,14,0.25179681181907654,2437,16583,103,2403
MED13,0.2823348694316436,0.08375784009695053,0.23333333333333334,37.61228586361569,7,0.5098372101783752,6510,16886,1838,2787
KDR,0.049536850583971004,0.03287006542086601,0.8333333333333334,24.66004742338041,25,-0.06703360378742218,2483,16541,123,2056
EIF4B,0.23144388500893293,0.11259224265813828,0.7333333333333333,9.908634999072726,22,0.013541332446038723,6157,16395,1425,1585
SIX4,0.037076271186440676,0.053485795855522156,0.6,19.16115637108581,18,0.1008056253194809,1888,15618,70,642
TFAM,0.3306503130190367,0.1084074079990387,0.26666666666666666,30.62307611272183,8,0.4636714458465576,7827,16785,2588,1105
MAST2,0.04228161148783406,0.038432247936725616,0.7,23.14990780690895,21,0.050843849778175354,2507,16395,106,1029
SMAGP,0.03431372549019608,0.08092034608125687,0.5333333333333333,11.891800190445979,16,0.2179800122976303,2856,15971,98,788
XRCC4,0.03139784946236559,0.08986254781484604,0.16666666666666666,32.10371620590989,5,0.5546470880508423,2325,14865,73,591
HMGN1,0.04066437571592211,0.03339535742998123,0.8666666666666667,24.484536981986956,26,-0.08191817253828049,1746,16848,71,2004
GSK3B,0.14545844044558698,0.11143948882818222,0.5,8.279154097465431,15,0.22640439867973328,4668,16298,679,1059
TMBIM6,0.027862208713272545,0.06676393747329712,0.9666666666666667,15.642835857631923,29,-0.28564879298210144,1974,15131,55,505
PMEL,0.04542326221610461,0.08046165108680725,0.9333333333333333,12.013340994486683,28,-0.22681891918182373,2906,14420,132,356
DAXX,0.044624033731553055,0.05632647126913071,0.43333333333333335,23.786607829448634,13,0.252797394990921,2846,16249,127,1332
METTL14,0.38593155893536124,0.49728623032569885,0.3333333333333333,23.65038336721039,10,0.41441717743873596,9994,14969,3857,468
MAU2,0.3265611367318958,0.22979657351970673,0.2,30.172090289048565,6,0.5238354802131653,8023,16105,2620,1021
NDUFB4,0.10520361990950226,0.07025906443595886,0.8,16.703193260467188,24,-0.025310644879937172,3536,16839,372,1413
KDM1A,0.4111111111111111,0.48181548714637756,0.06666666666666667,41.735674828076476,2,0.6114358901977539,10350,14536,4255,352
TXNDC9,0.10723025583982203,0.07072965800762177,0.1,43.531634247263426,3,0.5845628976821899,4495,15956,482,514
CALM3,0.029596412556053813,0.07963454723358154,1.0,12.232499408165992,30,-0.46422985196113586,2230,15862,66,681
C1QBP,0.2946463462289957,0.11059579998254776,0.03333333333333333,43.83470276939146,1,0.6286687254905701,7677,16568,2262,711
MBTPS1,0.17582031935427267,0.17635630071163177,0.3,18.440080231485936,9,0.45060819387435913,5699,15501,1002,626
ZNF562,0.02632661456190868,0.04993737116456032,0.7666666666666667,20.101385488987724,23,0.0013953633606433868,2431,16194,64,418
PHF10,0.04115076474872542,0.10279534012079239,0.36666666666666664,15.774509800290804,11,0.32783859968185425,2746,14925,113,450
FDPS,0.048134245970412895,0.25573650002479553,0.4,7.528546545384169,12,0.2994840145111084,4529,14488,218,154
OXA1L,0.016314199395770394,0.26807206869125366,0.13333333333333333,24.731737737350283,4,0.5583122372627258,1655,12748,27,63
