depmap_column,gene_symbol,entrez_id,training_std,training_dependency_prevalence,training_line_count
ACLY (47),ACLY,47,0.30135302267588476,0.5454545454545454,33
ACO2 (50),ACO2,50,0.5823415939826571,0.5151515151515151,33
ACSL3 (2181),ACSL3,2181,0.3579447347823988,0.30303030303030304,33
ACTB (60),ACTB,60,0.4692337152347786,0.6363636363636364,33
ACTR3 (10096),ACTR3,10096,0.43055781221983225,0.24242424242424243,33
ADAR (103),ADAR,103,0.35097290728518643,0.36363636363636365,33
ADRM1 (11047),ADRM1,11047,0.29971386884760565,0.45454545454545453,33
ADSL (158),ADSL,158,0.808456708770483,0.7575757575757576,33
ADSS2 (159),ADSS2,159,0.4980742703949981,0.36363636363636365,33
AHCYL1 (10768),AHCYL1,10768,0.3196913496181998,0.3333333333333333,33
AIFM1 (9131),AIFM1,9131,0.3877246204095263,0.5454545454545454,33
AMBRA1 (55626),AMBRA1,55626,0.3531065093065717,0.09090909090909091,33
ANAPC15 (25906),ANAPC15,25906,0.29038495467272135,0.48484848484848486,33
ANKRD49 (54851),ANKRD49,54851,0.3674045450502226,0.36363636363636365,33
ANLN (54443),ANLN,54443,0.30444857600572955,0.48484848484848486,33
AP2M1 (1173),AP2M1,1173,0.4297651746248969,0.7878787878787878,33
AP2S1 (1175),AP2S1,1175,0.41981472926055313,0.7272727272727273,33
APC (324),APC,324,0.3126913468141238,0.12121212121212122,33
ARF4 (378),ARF4,378,0.5128692658344788,0.5757575757575758,33
ARHGEF7 (8874),ARHGEF7,8874,0.30404863197806886,0.18181818181818182,33
ARID1B (57492),ARID1B,57492,0.30230009453616485,0.06060606060606061,33
ARID2 (196528),ARID2,196528,0.31673498659801197,0.30303030303030304,33
ARMC5 (79798),ARMC5,79798,0.3143697504748052,0.2727272727272727,33
ARPC4 (10093),ARPC4,10093,0.4482908418703859,0.5757575757575758,33
ASCC3 (10973),ASCC3,10973,0.3374460432075802,0.3333333333333333,33
ASNS (440),ASNS,440,0.3390564653231398,0.3939393939393939,33
ATF4 (468),ATF4,468,0.3493869935031874,0.7575757575757576,33
ATIC (471),ATIC,471,0.4049580465237153,0.3939393939393939,33
ATL2 (64225),ATL2,64225,0.4864814650351476,0.6060606060606061,33
ATP1B3 (483),ATP1B3,483,0.3666474589422467,0.3939393939393939,33
ATP2B1 (490),ATP2B1,490,0.2954345050647251,0.15151515151515152,33
ATP5F1B (506),ATP5F1B,506,0.3400262642032864,0.7878787878787878,33
ATP5F1C (509),ATP5F1C,509,0.3722624112758723,0.7575757575757576,33
ATP5F1D (513),ATP5F1D,513,0.2855722656736183,0.7272727272727273,33
ATP6V0E1 (8992),ATP6V0E1,8992,0.43297130972071735,0.06060606060606061,33
ATP6V1H (51606),ATP6V1H,51606,0.485465849934723,0.696969696969697,33
ATXN7L3 (56970),ATXN7L3,56970,0.2934355348122127,0.24242424242424243,33
BAP1 (8314),BAP1,8314,0.3460806686907288,0.6363636363636364,33
BCL9 (607),BCL9,607,0.3072982362966601,0.09090909090909091,33
BCL9L (283149),BCL9L,283149,0.31466457363626277,0.12121212121212122,33
BIRC6 (57448),BIRC6,57448,0.2923848625783364,0.21212121212121213,33
BPTF (2186),BPTF,2186,0.32626630434451753,0.6666666666666666,33
BRAF (673),BRAF,673,0.4202093862301209,0.15151515151515152,33
BRAT1 (221927),BRAT1,221927,0.40605705736191905,0.48484848484848486,33
BRCA1 (672),BRCA1,672,0.2932729694901353,0.5757575757575758,33
BRCA2 (675),BRCA2,675,0.30559095849439927,0.5454545454545454,33
BRD2 (6046),BRD2,6046,0.4222803221579542,0.5151515151515151,33
BRK1 (55845),BRK1,55845,0.2891754260482855,0.24242424242424243,33
BSG (682),BSG,682,0.29222205795648043,0.09090909090909091,33
BUD13 (84811),BUD13,84811,0.3133678324585174,0.6060606060606061,33
C19orf53 (28974),C19orf53,28974,0.3596290984279432,0.7878787878787878,33
C3orf38 (285237),C3orf38,285237,0.3742572636637546,0.42424242424242425,33
CAB39 (51719),CAB39,51719,0.347460368753684,0.18181818181818182,33
CAD (790),CAD,790,0.5703520642026592,0.42424242424242425,33
CAND1 (55832),CAND1,55832,0.28853045532340993,0.30303030303030304,33
CARS2 (79587),CARS2,79587,0.3496726382478142,0.18181818181818182,33
CBFB (865),CBFB,865,0.3894390546372257,0.06060606060606061,33
CBLL1 (79872),CBLL1,79872,0.29358500435922474,0.24242424242424243,33
CCAR1 (55749),CCAR1,55749,0.2945698632537371,0.7272727272727273,33
CCDC51 (79714),CCDC51,79714,0.348774431574659,0.09090909090909091,33
CCDC6 (8030),CCDC6,8030,0.3035988664171416,0.12121212121212122,33
CCNB1 (891),CCNB1,891,0.33878842250595953,0.7575757575757576,33
CCNC (892),CCNC,892,0.380877980501275,0.2727272727272727,33
CCND1 (595),CCND1,595,0.7716893139940944,0.7878787878787878,33
CCND3 (896),CCND3,896,0.3651674071564473,0.21212121212121213,33
CCNL1 (57018),CCNL1,57018,0.4514075021971298,0.6666666666666666,33
CDAN1 (146059),CDAN1,146059,0.5664213791926341,0.7272727272727273,33
CDH1 (999),CDH1,999,0.356613316810495,0.06060606060606061,33
CDIN1 (84529),CDIN1,84529,0.30525774550762297,0.18181818181818182,33
CDK4 (1019),CDK4,1019,0.6235110879889041,0.7272727272727273,33
CDK6 (1021),CDK6,1021,0.4125620336069227,0.48484848484848486,33
CDK8 (1024),CDK8,1024,0.2897666644065179,0.06060606060606061,33
CDS2 (8760),CDS2,8760,0.35352864962691694,0.30303030303030304,33
CEP43 (11116),CEP43,11116,0.3669465383984056,0.18181818181818182,33
CEP85 (64793),CEP85,64793,0.2999874775186095,0.30303030303030304,33
CFL1 (1072),CFL1,1072,0.5541241196075384,0.5151515151515151,33
CFLAR (8837),CFLAR,8837,0.5115772548765818,0.6060606060606061,33
CHMP5 (51510),CHMP5,51510,0.3683978446183714,0.7272727272727273,33
CHMP7 (91782),CHMP7,91782,0.4508456394593872,0.6363636363636364,33
CIT (11113),CIT,11113,0.4024608523982802,0.48484848484848486,33
COA6 (388753),COA6,388753,0.32827619119484547,0.2727272727272727,33
COA7 (65260),COA7,65260,0.3294525964917516,0.36363636363636365,33
COASY (80347),COASY,80347,0.31970893600223727,0.6666666666666666,33
COP1 (64326),COP1,64326,0.363868928383128,0.2727272727272727,33
COQ4 (51117),COQ4,51117,0.29037610046303863,0.6666666666666666,33
COX10 (1352),COX10,1352,0.28563152560737465,0.3333333333333333,33
COX15 (1355),COX15,1355,0.288442648516181,0.36363636363636365,33
COX18 (285521),COX18,285521,0.2985084698459658,0.18181818181818182,33
COX5A (9377),COX5A,9377,0.30666373958121407,0.5454545454545454,33
COX6A1 (1337),COX6A1,1337,0.3037997529681815,0.3939393939393939,33
