perturbation_id,des_k,mae_top2000_k,rank_Rk_norm,overall_score,rank_Rk,cosine_self,n_true_de,n_pred_de,n_intersect,n_cells
AKT2,0.041684572410829394,0.06305862218141556,0.6666666666666666,16.624636411919568,20,0.06607789546251297,2327,16198,97,938
MAP3K7,0.14598358617259388,0.03859283775091171,0.9,24.5446516554588,27,-0.10983312129974365,4021,16415,587,2019
ZNF426,0.04303931987247609,0.028503557667136192,0.6333333333333333,25.780721338861635,19,0.06999599188566208,1882,15815,81,1132
DNMT1,0.4381188118811881,0.2787844240665436,0.5666666666666667,12.348041526841762,17,0.2058359831571579,9292,16056,4071,893
SRC,0.045916114790286976,0.026909517124295235,0.43333333333333335,31.581243267931796,13,0.25554224848747253,2265,16721,104,2403
MED13,0.2725409836065574,0.08161082863807678,0.3333333333333333,29.702182434523117,10,0.47032278776168823,6344,16761,1729,2787
KDR,0.047966631908237745,0.035407550632953644,0.8333333333333334,23.951364432179744,25,-0.0823902115225792,1918,16731,92,2056
EIF4B,0.24168126094570927,0.1127692386507988,0.7333333333333333,8.464210269923596,22,0.009050104767084122,6281,16709,1518,1585
SIX4,0.050131157097056255,0.052438970655202866,0.6,19.438534537572107,18,0.12325885891914368,3431,16378,172,642
TFAM,0.2474347698622105,0.1031748428940773,0.2,31.65226905860219,6,0.525071382522583,6822,16617,1688,1105
MAST2,0.039576622181316155,0.03800784423947334,0.6666666666666666,23.262362416673728,20,0.06624098122119904,2173,16577,86,1029
SMAGP,0.04161248374512354,0.08077066391706467,0.5666666666666667,11.93146160120173,17,0.21637840569019318,3076,15570,128,788
XRCC4,0.030336662967073623,0.09019066393375397,0.16666666666666666,32.01677499793216,5,0.5411052703857422,2703,14965,82,591
HMGN1,0.04018109790605546,0.03567367419600487,0.8333333333333334,23.880849444619802,25,-0.08734989911317825,1767,16842,71,2004
GSK3B,0.14684095860566448,0.11092733591794968,0.5,6.487489187683523,15,0.2095162570476532,4590,16250,674,1059
TMBIM6,0.03125,0.06955715268850327,0.9666666666666667,14.902715238870359,29,-0.3469466269016266,1984,15326,62,505
PMEL,0.03403675970047652,0.0828084722161293,0.9333333333333333,11.391501797528004,28,-0.2333960235118866,1469,15080,50,356
DAXX,0.07788863855809462,0.0543614998459816,0.43333333333333335,24.30726798396615,13,0.2511453330516815,3107,16275,242,1332
METTL14,0.41630943102104445,0.49696195125579834,0.3333333333333333,23.362843167691086,10,0.39480113983154297,10264,15521,4273,468
MAU2,0.3606171240136615,0.22941085696220398,0.2,29.884427297478695,6,0.5072024464607239,8491,16804,3062,1021
NDUFB4,0.1477371627502176,0.07474666088819504,0.9,15.030435348229087,27,-0.13039277493953705,4596,16030,679,1413
KDM1A,0.41304139056948047,0.4772452116012573,0.06666666666666667,40.44397869386582,2,0.646449863910675,10413,14549,4301,352
TXNDC9,0.08209143723162415,0.06776413321495056,0.1,42.259949774938896,3,0.5950679779052734,3959,15619,325,514
CALM3,0.04498269896193772,0.08003358542919159,1.0,12.126765917013357,30,-0.44789424538612366,3179,15869,143,681
C1QBP,0.277632484514797,0.10649892687797546,0.03333333333333333,42.65131066426053,1,0.6544188261032104,7265,16437,2017,711
MBTPS1,0.16686137071651092,0.16975754499435425,0.26666666666666666,18.347186799313477,8,0.5052016377449036,5136,14918,857,626
ZNF562,0.027009646302250803,0.05048755928874016,0.7666666666666667,19.955601672299906,23,-0.014280073344707489,1555,14923,42,418
PHF10,0.07459379615952733,0.10452379286289215,0.36666666666666664,15.316520202490121,11,0.2902853786945343,4062,15816,303,450
FDPS,0.036205162587998656,0.25504109263420105,0.3333333333333333,11.829344343375698,10,0.34887394309043884,2983,13813,108,154
OXA1L,0.01583873290136789,0.2639642059803009,0.16666666666666666,22.58133883835452,5,0.5773588418960571,1389,12749,22,63
