perturbation_id,des_k,mae_top2000_k,rank_Rk_norm,overall_score,rank_Rk,cosine_self,n_true_de,n_pred_de,n_intersect,n_cells
AKT2,0.04569093610698365,0.06305862218141556,0.6666666666666666,16.624636411919568,20,0.06607789546251297,2692,15745,123,938
MAP3K7,0.16410379625180202,0.03859283775091171,0.9,25.221410201834455,27,-0.10983312129974365,4162,16360,683,2019
ZNF426,0.04820627802690583,0.028503557667136192,0.6333333333333333,25.780721338861635,19,0.06999599188566208,1784,16464,86,1132
DNMT1,0.45825406890720777,0.2787844240665436,0.5666666666666667,13.100058595974149,17,0.2058359831571579,9462,16470,4336,893
SRC,0.047856049004594184,0.026909517124295235,0.43333333333333335,31.581243267931796,13,0.25554224848747253,2612,16757,125,2403
MED13,0.25659705358588314,0.08161082863807678,0.3333333333333333,29.10670418911978,10,0.47032278776168823,6177,16895,1585,2787
KDR,0.03339634530560807,0.035407550632953644,0.8333333333333334,23.951364432179744,25,-0.0823902115225792,1587,16960,53,2056
EIF4B,0.28347024066868426,0.1127692386507988,0.7333333333333333,10.024956478064585,22,0.009050104767084122,6939,16082,1967,1585
SIX4,0.03873517786561265,0.052438970655202866,0.6,19.438534537572107,18,0.12325885891914368,2530,16239,98,642
TFAM,0.2856158721410857,0.1031748428940773,0.2,33.07826727630061,6,0.525071382522583,7258,16695,2073,1105
MAST2,0.030534351145038167,0.03800784423947334,0.6666666666666666,23.262362416673728,20,0.06624098122119904,1572,15987,48,1029
SMAGP,0.034482758620689655,0.08077066391706467,0.5666666666666667,11.93146160120173,17,0.21637840569019318,2813,15935,97,788
XRCC4,0.030892932712653406,0.09019066393375397,0.16666666666666666,32.01677499793216,5,0.5411052703857422,2363,14942,73,591
HMGN1,0.042134831460674156,0.03567367419600487,0.8333333333333334,23.880849444619802,25,-0.08734989911317825,1780,16675,75,2004
GSK3B,0.20131375579598146,0.11092733591794968,0.5,8.521954068741113,15,0.2095162570476532,5176,16450,1042,1059
TMBIM6,0.0290519877675841,0.06955715268850327,0.9666666666666667,14.902715238870359,29,-0.3469466269016266,1308,15758,38,505
PMEL,0.033532934131736525,0.0828084722161293,0.9333333333333333,11.391501797528004,28,-0.2333960235118866,1670,15320,56,356
DAXX,0.12098249281421479,0.0543614998459816,0.43333333333333335,24.810815801490513,13,0.2511453330516815,3827,16683,463,1332
METTL14,0.48513929004006334,0.49696195125579834,0.3333333333333333,25.93351950827069,10,0.39480113983154297,10733,16409,5207,468
MAU2,0.3305418719211823,0.22941085696220398,0.2,28.761168582540165,6,0.5072024464607239,8120,16339,2684,1021
NDUFB4,0.09730668983492616,0.07474666088819504,0.9,13.527646823477731,27,-0.13039277493953705,3453,16646,336,1413
KDM1A,0.4832984436151816,0.4772452116012573,0.06666666666666667,43.06795826606755,2,0.646449863910675,10987,15233,5310,352
TXNDC9,0.032428621783574196,0.06776413321495056,0.1,42.259949774938896,3,0.5950679779052734,2837,15403,92,514
CALM3,0.05393586005830904,0.08003358542919159,1.0,12.126765917013357,30,-0.44789424538612366,3430,15474,185,681
C1QBP,0.35966065240769507,0.10649892687797546,0.03333333333333333,45.71492104308025,1,0.6544188261032104,8369,16764,3010,711
MBTPS1,0.20423552061607572,0.16975754499435425,0.26666666666666666,19.74304673953999,8,0.5052016377449036,6233,16034,1273,626
ZNF562,0.035595105672969966,0.05048755928874016,0.7666666666666667,19.955601672299906,23,-0.014280073344707489,1798,14792,64,418
PHF10,0.06989908934285011,0.10452379286289215,0.36666666666666664,15.316520202490121,11,0.2902853786945343,4063,15856,284,450
FDPS,0.0389278876834716,0.25504109263420105,0.3333333333333333,11.829344343375698,10,0.34887394309043884,3134,13846,122,154
OXA1L,0.021669853409815167,0.2639642059803009,0.16666666666666666,22.58133883835452,5,0.5773588418960571,3138,13648,68,63
