perturbation_id,des_k,mae_top2000_k,rank_Rk_norm,overall_score,rank_Rk,cosine_self,n_true_de,n_pred_de,n_intersect,n_cells
AKT2,0.1963055729492799,0.23166295886039734,0.3333333333333333,15.146079094049083,10,0.018847543746232986,3194,13837,627,938
MAP3K7,0.13762428048142333,0.22543227672576904,0.3,15.104833082947497,9,0.041126787662506104,1911,14736,263,2019
ZNF426,0.11668484187568157,0.24798811972141266,0.5,1.4203878269470793,15,-0.03573198243975639,1834,14120,214,1132
DNMT1,0.575297586545812,0.35460224747657776,0.7,17.471431803765157,21,-0.07904574275016785,9157,13939,5268,893
SRC,0.15092674315975288,0.21875512599945068,0.3333333333333333,13.451258186877208,10,0.023869594559073448,2266,14973,342,2403
MED13,0.38710672424429365,0.22925204038619995,0.4,17.97137471510569,12,-0.00044891564175486565,6484,15024,2510,2787
KDR,0.1318069306930693,0.22350363433361053,0.16666666666666666,23.489160712978954,5,0.09058412909507751,1616,14758,213,2056
EIF4B,0.3943057101956418,0.2376631647348404,0.4666666666666667,13.939446607173853,14,-0.031096244230866432,6287,14506,2479,1585
SIX4,0.15384615384615385,0.2332083284854889,0.6,1.7309487897723197,18,-0.057727497071027756,3263,13293,502,642
TFAM,0.29982601971776535,0.264833927154541,0.8333333333333334,7.183044620644831,25,-0.19019104540348053,5173,14147,1551,1105
MAST2,0.12889105058365757,0.23328788578510284,0.5666666666666667,0.7989187893056051,17,-0.0464092418551445,2056,14016,265,1029
SMAGP,0.2076587795765878,0.22754038870334625,0.26666666666666666,19.8708995485227,8,0.05041304975748062,3212,13749,667,788
XRCC4,0.23027195720017835,0.2585066258907318,0.9333333333333333,4.585320530352133,28,-0.2858424484729767,4486,13393,1033,591
HMGN1,0.13823529411764707,0.22877159714698792,0.16666666666666666,23.729248982804453,5,0.09773413091897964,2040,14758,282,2004
GSK3B,0.26647045505999545,0.2503034174442291,0.6333333333333333,5.937271897665564,19,-0.05992048233747482,4417,14075,1177,1059
TMBIM6,0.11393379522709776,0.20490503311157227,0.06666666666666667,29.272826673608765,2,0.2640039026737213,1299,13100,148,505
PMEL,0.12045760430686406,0.21945884823799133,0.13333333333333333,25.215681875795255,4,0.1308434009552002,1486,12638,179,356
DAXX,0.20770676691729323,0.22313445806503296,0.4666666666666667,6.970298398832167,14,-0.03309772536158562,3192,14318,663,1332
METTL14,0.7271927251393371,0.626799464225769,0.9666666666666667,23.14445285300979,29,-0.2940397560596466,10227,12984,7437,468
MAU2,0.5311964766332273,0.302651047706604,0.43333333333333335,21.20247917330633,13,-0.0027936005499213934,8174,14004,4342,1021
NDUFB4,0.19711679905854662,0.213920459151268,0.1,30.229169280922946,3,0.1556549072265625,3399,14354,670,1413
KDM1A,0.745265236513778,0.5887178778648376,1.0,23.819429935155103,30,-0.3277193307876587,11141,12195,8303,352
TXNDC9,0.12193732193732194,0.2381674349308014,0.8666666666666667,0.5392090359410624,26,-0.255304217338562,1755,13264,214,514
CALM3,0.13943894389438943,0.17700837552547455,0.03333333333333333,32.375798818815234,1,0.3636525273323059,2424,13560,338,681
C1QBP,0.49528849877371883,0.26707959175109863,0.8666666666666667,14.483230579784085,26,-0.27570778131484985,7747,13420,3837,711
MBTPS1,0.39224072094088897,0.3151628375053406,0.7333333333333333,10.634574078091092,22,-0.12994083762168884,6547,13258,2568,626
ZNF562,0.09723461195361284,0.23735646903514862,0.23333333333333334,18.280541040362987,7,0.06789258122444153,1121,12894,109,418
PHF10,0.17631870158613058,0.2749204933643341,0.7666666666666667,2.5702596297341023,23,-0.1571030169725418,2711,12992,478,450
FDPS,0.1867753055468505,0.34837737679481506,0.6333333333333333,2.9607957253725683,19,-0.05655612051486969,3191,11455,596,154
OXA1L,0.09152288072018004,0.38503551483154297,0.7666666666666667,0.0,23,-0.1560649871826172,2666,8358,244,63
